terminal_id,borough,zone
5636.13,Manhattan,Manhattan Community Board 3
4993.02,Manhattan,Whitehall
4713.01,Brooklyn,NONE
5669.1,Manhattan,Manhattan Community Board 3
5666.04,Brooklyn,Greenpoint
4821.1,Brooklyn,Dumbo
5569.07,Manhattan,Manhattan Community Board 2
7579.11,Manhattan,East Harlem
4962.08,Manhattan,Whitehall
5065.1,Manhattan,Whitehall
6416.06,Manhattan,Manhattan Community Board 4
6786.02,Manhattan,Clinton
6593.15,Manhattan,Manhattan Community Board 5
6089.11,Manhattan,Manhattan Community Board 6
4228.06,Brooklyn,NONE
6389.09,Manhattan,Manhattan Community Board 6
6541.03,Manhattan,Beekman
5847.01,Manhattan,Manhattan Community Board 2
3987.06,Brooklyn,NONE
7281.09,Manhattan,NONE
7463.09,Manhattan,Manhattan Community Board 11
7735.05,Manhattan,Manhattan Community Board 10
6303.01,Manhattan,Murray Hill
7744.06,The Bronx,Mott Haven
6251.06,Queens County,Sunnyside Gardens
4116.08,Brooklyn,Prospect Heights
7286.01,Manhattan,Manhattan Community Board 8
3696.05,Brooklyn,NONE
8655.02,Manhattan,Manhattan Community Board 12
5235.05,Brooklyn,NONE
5445.07,Manhattan,Lower East Side
6884.03,Manhattan,Manhattan Community Board 5
5755.09,Manhattan,Manhattan Community Board 2
6022.04,Manhattan,Manhattan Community Board 5
8472.08,The Bronx,Fordham
6809.09,Manhattan,NONE
7204.08,Manhattan,Manhattan Community Board 8
7212.05,Manhattan,Manhattan Community Board 8
4125.07,Brooklyn,NONE
6575.03,Manhattan,Beekman
5752.09,Brooklyn,Greenpoint
4824.03,Brooklyn,NONE
5509.02,Manhattan,Manhattan Community Board 1
4818.03,Brooklyn,NONE
6498.1,Manhattan,Beekman
5294.04,Manhattan,Lower East Side
6554.05,Queens County,Sunnyside Gardens
6700.01,Manhattan,Manhattan Community Board 5
8198.05,The Bronx,High Bridge
6659.1,Manhattan,Manhattan Community Board 5
7111.1,Queens County,Steinway
5279.03,Manhattan,Manhattan Community Board 1
7611.02,Manhattan,East Harlem
6812.06,Queens County,NONE
7432.09,Manhattan,Manhattan Community Board 7
3408.05,Brooklyn,NONE
6323.04,Queens County,Jackson Heights
4016.03,Brooklyn,Eastern Parkway
5470.02,Manhattan,Manhattan Community Board 1
6551.11,Manhattan,Midtown East
5914.08,Manhattan,Manhattan Community Board 2
6691.11,Manhattan,Sutton
7974.01,The Bronx,Bronx County
4945.06,Queens,Ridgewood
4587.02,Brooklyn,NONE
5159.04,Manhattan,Manhattan Community Board 3
5164.05,Brooklyn,NONE
8226.06,Manhattan,Manhattan Community Board 12
7271.01,Queens County,Astoria
7688.12,Manhattan,Manhattan Community Board 10
7658.13,Manhattan,Manhattan Community Board 10
5679.05,Manhattan,Manhattan Community Board 2
4175.15,Brooklyn,NONE
5470.1,Manhattan,Manhattan Community Board 1
6593.14,Manhattan,NONE
4246.02,Brooklyn,Bedford-Stuyvesant
3359.01,Brooklyn,NONE
5267.08,Brooklyn,NONE
7210.07,Queens County,NONE
7528.31,Manhattan,Manhattan Community Board 11
6225.03,Queens County,Woodside
5123.07,Brooklyn,NONE
6110.01,Queens County,Sunnyside
3739.06,Brooklyn,South Slope
5847.08,Manhattan,Manhattan Community Board 2
4446.05,Brooklyn,NONE
5270.08,Manhattan,Manhattan Community Board 3
7020.02,Manhattan,Lenox Hill
5602.06,Manhattan,Manhattan Community Board 2
4266.03,Brooklyn,Cobble Hill
6460.06,Queens County,Woodside
7823.03,Manhattan,Manhattanville
4645.04,Brooklyn,NONE
5262.09,Manhattan,Lower East Side
7126.01,Queens County,Astoria
4781.05,Brooklyn,Dumbo
6307.07,Queens County,Woodside
3199.01,Brooklyn,NONE
5703.13,Manhattan,Alphabet City
6759.15,Queens County,Ravenswood
7655.22,Manhattan,Manhattan Community Board 10
7753.13,Manhattan,Manhattan Community Board 10
8535.01,The Bronx,University Heights
5422.09,Manhattan,Manhattan Community Board 2
4637.06,Brooklyn,NONE
6904.06,Manhattan,Manhattan Community Board 8
6306.01,Manhattan,Manhattan Community Board 4
6920.03,Manhattan,Clinton
6611.07,Manhattan,Manhattan Community Board 4
3905.15,Brooklyn,NONE
7450.05,Manhattan,East Harlem
8478.11,The Bronx,Fordham
4010.15,Brooklyn,NONE
3651.04,Brooklyn,NONE
5626.15,Manhattan,Manhattan Community Board 3
7388.1,Manhattan,NONE
4895.09,Brooklyn,Dumbo
4455.1,Brooklyn,Cobble Hill
6158.02,Queens County,Woodside
4864.09,Brooklyn,NONE
5359.1,Manhattan,Manhattan Community Board 1
4689.03,Brooklyn,NONE
6313.1,Manhattan,Manhattan Community Board 6
5947.04,Manhattan,Manhattan Community Board 2
5500.07,Manhattan,Manhattan Community Board 2
4413.08,Brooklyn,Cobble Hill
5270.05,Manhattan,Manhattan Community Board 3
4531.05,Brooklyn,NONE
7903.02,Manhattan,Manhattanville
6432.1,Manhattan,Manhattan Community Board 5
5989.02,Manhattan,Manhattan Community Board 4
5303.08,Manhattan,Manhattan Community Board 3
6830.02,Manhattan,Manhattan Community Board 8
5997.1,Manhattan,Manhattan Community Board 2
7100.07,Manhattan,Manhattan Community Board 8
4729.01,Brooklyn,NONE
3874.01,Brooklyn,NONE
6762.02,Manhattan,Sutton
5359.12,Manhattan,Manhattan Community Board 1
8049.1,Manhattan,Manhattan Community Board 9
7311.02,Manhattan,Manhattan Community Board 7
6809.07,Manhattan,Manhattan Community Board 5
4645.09,Brooklyn,NONE
7701.21,Manhattan,Manhattan Community Board 11
7354.01,Manhattan,Manhattan Community Board 7
5896.01,Manhattan,Gramercy
7643.18,Manhattan,Manhattan Community Board 10
5484.09,Manhattan,Manhattan Community Board 3
7409.04,Manhattan,NONE
8635.08,The Bronx,Bedford Park
7453.01,Manhattan,NONE
8005.03,The Bronx,Bronx County
6638.01,Queens County,Sunnyside Gardens
6850.01,Queens County,NONE
5610.09,Manhattan,Manhattan Community Board 2
5558.04,Brooklyn,Greenpoint
5411.08,Brooklyn,Greenpoint
7484.05,Manhattan,NONE
7842.16,Manhattan,Manhattan Community Board 9
7382.04,Manhattan,Manhattan Community Board 7
8639.01,The Bronx,Kingsbridge Heights
4386.05,Brooklyn,NONE
4187.04,Brooklyn,NONE
6173.08,Manhattan,Flatiron District
6572.08,Queens County,Ravenswood
4781.03,Brooklyn,Dumbo
6157.04,Manhattan,Manhattan Community Board 2
6901.01,Queens County,Astoria
8103.05,The Bronx,Morrisania
8163.05,The Bronx,Charlotte Gardens
4954.07,Kings County,NONE
4166.08,Brooklyn,NONE
6233.05,Manhattan,Manhattan Community Board 4
5721.14,Manhattan,University Village
6560.15,Manhattan,Garment District
6230.04,Manhattan,Murray Hill
3704.04,Brooklyn,NONE
5190.07,Manhattan,Manhattan Community Board 3
4437.09,Brooklyn,NONE
8141.05,The Bronx,Melrose
7886.02,Manhattan,Manhattanville
6578.01,Manhattan,Hudson Yards
7995.04,The Bronx,Melrose
6896.16,Manhattan,Manhattan Community Board 8
6636.04,Queens County,Jackson Heights
4119.04,Brooklyn,Carroll Gardens
5755.14,Manhattan,NONE
5721.01,Manhattan,Manhattan Community Board 2
6611.02,Manhattan,Manhattan Community Board 4
6762.04,Manhattan,Manhattan Community Board 8
8160.03,The Bronx,Bronx County
4861.05,Brooklyn,NONE
4455.11,Brooklyn,Cobble Hill
7832.04,Manhattan,NONE
6955.05,Manhattan,Clinton
7014.12,Manhattan,Manhattan Community Board 7
6998.08,Manhattan,NONE
7023.04,Manhattan,Clinton
6560.01,Manhattan,Manhattan Community Board 5
4101.17,Brooklyn,NONE
7587.16,Manhattan,Manhattan Community Board 10
4488.08,Brooklyn,NONE
3993.03,Brooklyn,NONE
5938.01,Manhattan,Gramercy
4380.08,Brooklyn,Cobble Hill
4683.02,Brooklyn,Clinton Hill
8269.01,The Bronx,Morris Heights
5863.07,Manhattan,Manhattan Community Board 6
6464.09,Manhattan,Beekman
6098.02,Manhattan,Manhattan Community Board 5
5712.12,Manhattan,Manhattan Community Board 3
5096.12,Manhattan,Manhattan Community Board 1
6148.02,Manhattan,Manhattan Community Board 4
6450.05,Manhattan,Manhattan Community Board 4
8500.01,The Bronx,University Heights
7704.04,Manhattan,Manhattan Community Board 10
7667.04,Manhattan,Manhattan Community Board 11
4461.04,Brooklyn,Clinton Hill
4157.1,Brooklyn,Prospect Heights
5156.05,Brooklyn,NONE
7860.08,Manhattan,Manhattan Community Board 9
6297.07,Manhattan,Manhattan Community Board 4
7720.03,Manhattan,Manhattan Community Board 10
6532.06,Manhattan,Beekman
5980.07,Manhattan,Manhattan Community Board 5
3628.11,Brooklyn,South Slope
6709.05,Queens County,East Elmhurst
4807.02,Queens County,Ridgewood
6538.11,Queens County,Ravenswood
3312.07,Brooklyn,NONE
4903.08,Brooklyn,Dumbo
6847.05,Manhattan,Manhattan Community Board 5
7865.09,Manhattan,Manhattanville
7365.08,Manhattan,Manhattan Community Board 11
7682.01,Manhattan,Manhattan Community Board 11
5342.1,Manhattan,Manhattan Community Board 3
5872.1,Manhattan,University Village
7640.04,Manhattan,East Harlem
7458.03,Manhattan,Manhattan Community Board 7
6535.04,Manhattan,Chelsea District
7599.09,Manhattan,Manhattan Community Board 11
6364.1,Manhattan,Theater District
7524.16,Manhattan,NONE
3344.02,Brooklyn,Kensington
7652.04,Manhattan,Manhattan Community Board 11
6753.08,Manhattan,Manhattan Community Board 8
5492.05,Manhattan,Manhattan Community Board 2
6107.08,Manhattan,Manhattan Community Board 4
4028.04,Brooklyn,NONE
6224.03,Manhattan,Manhattan Community Board 4
8108.02,Manhattan,Manhattan Community Board 9
6200.03,Queens County,Woodside
4128.08,Brooklyn,Red Hook
7803.08,The Bronx,Mott Haven
5769.06,Manhattan,Manhattan Community Board 6
5569.06,Manhattan,Manhattan Community Board 2
5470.12,Manhattan,Manhattan Community Board 1
6718.02,Queens County,Jackson Heights
4611.03,Brooklyn,Clinton Hill
5788.16,Manhattan,Manhattan Community Board 3
3978.13,Brooklyn,NONE
5326.06,Manhattan,Lower East Side
6030.06,Manhattan,Manhattan Community Board 4
6266.06,Manhattan,Manhattan Community Board 4
6569.09,Manhattan,Manhattan Community Board 4
6798.01,Queens County,Ravenswood
6122.09,Manhattan,Manhattan Community Board 6
4217.02,Brooklyn,Gowanus
6981.16,Queens County,Steinway
6322.01,Manhattan,Manhattan Community Board 5
6608.09,Manhattan,Sutton
6626.11,Manhattan,Manhattan Community Board 5
7284.01,Queens County,Steinway
5219.05,Brooklyn,Greenpoint
5964.01,Manhattan,Manhattan Community Board 2
7314.03,Queens County,NONE
4416.1,Brooklyn,NONE
6629.06,Queens County,Sunnyside Gardens
3385.06,Brooklyn,Kensington
4345.11,Brooklyn,Clinton Hill
5886.13,Manhattan,Manhattan Community Board 6
5971.09,Manhattan,Gramercy
5788.13,Manhattan,Manhattan Community Board 2
4853.06,Brooklyn,Dumbo
3593.1,Brooklyn,NONE
6185.04,Queens County,Sunnyside
7288.04,Manhattan,NONE
3520.01,Brooklyn,NONE
6584.12,Manhattan,Manhattan Community Board 5
6197.02,Manhattan,Manhattan Community Board 6
6839.04,Manhattan,Manhattan Community Board 5
6339.06,Manhattan,Manhattan Community Board 4
6659.09,Manhattan,Manhattan Community Board 5
3504.02,Brooklyn,Crown Heights
6459.07,Manhattan,Chelsea District
5368.03,Manhattan,Manhattan Community Board 1
4812.04,Brooklyn,NONE
4172.04,Brooklyn,Bedford-Stuyvesant
6373.07,Manhattan,Chelsea
4732.04,Brooklyn,NONE
4987.06,Brooklyn,NONE
7119.04,Queens County,NONE
6927.03,Queens County,Steinway
5929.01,Manhattan,Manhattan Community Board 6
3090.06,Brooklyn,Kensington
4724.03,Brooklyn,Clinton Hill
8069.01,Manhattan,Manhattan Community Board 9
4665.02,Brooklyn,NONE
6602.03,Manhattan,Manhattan Community Board 5
4968.03,Brooklyn,Dumbo
6779.05,Manhattan,Manhattan Community Board 5
3762.08,Brooklyn,NONE
3480.04,Brooklyn,NONE
5712.03,Manhattan,Manhattan Community Board 3
5584.05,Manhattan,Alphabet City
4993.13,Manhattan,Whitehall
5351.03,Manhattan,Manhattan Community Board 3
5653.12,Manhattan,Manhattan Community Board 2
7436.11,Manhattan,Manhattan Community Board 11
5025.02,Queens County,Ridgewood
5797.01,Manhattan,University Village
7323.09,Manhattan,Manhattan Community Board 8
4565.07,Brooklyn,NONE
3887.03,Brooklyn,NONE
5445.02,Manhattan,Manhattan Community Board 3
6382.05,Manhattan,Manhattan Community Board 4
8605.06,The Bronx,Kingsbridge Heights
7253.04,Manhattan,Manhattan Community Board 7
6756.01,Manhattan,Clinton
3157.08,Brooklyn,Kensington
6723.1,Manhattan,Sutton
6422.09,Manhattan,Beekman
6131.12,Manhattan,Flatiron District
3611.02,Brooklyn,NONE
6822.09,Manhattan,Manhattan Community Board 8
6824.07,Manhattan,Clinton
5359.13,Manhattan,Manhattan Community Board 1
4628.07,Brooklyn,Brooklyn Navy Yard
3180.02,Brooklyn,NONE
7618.01,Manhattan,Manhattan Community Board 11
5340.01,Brooklyn,NONE
4762.04,Brooklyn,Brooklyn Navy Yard
3547.04,Brooklyn,NONE
7781.1,The Bronx,Mott Haven
5579.04,Queens County,Maspeth
6848.04,Queens County,NONE
7386.1,Manhattan,Manhattan Community Board 11
7716.19,Manhattan,East Harlem
5406.04,Manhattan,Lower East Side
8242.04,Manhattan,Manhattan Community Board 12
4278.03,Brooklyn,Bedford-Stuyvesant
8171.06,The Bronx,Bronx County
8319.01,The Bronx,Tremont
6248.06,Manhattan,Manhattan Community Board 5
3958.02,Brooklyn,Eastern Parkway
6185.07,Queens County,Sunnyside
7879.01,The Bronx,Bronx County
3625.07,Brooklyn,NONE
6726.01,Manhattan,Clinton
4072.02,Brooklyn,NONE
4479.06,Brooklyn,NONE
6212.04,Queens County,Hunters Point
7003.06,Queens County,Astoria
7144.02,Queens County,Steinway
6089.07,Manhattan,Manhattan Community Board 6
7670.09,Manhattan,Manhattan Community Board 10
7235.13,Manhattan,Manhattan Community Board 8
6953.08,Manhattan,Lenox Hill
4971.01,Brooklyn,NONE
7937.15,Manhattan,Manhattan Community Board 9
6464.08,Manhattan,Beekman
8766.03,The Bronx,Bedford Park
8278.05,Manhattan,Manhattan Community Board 12
5382.07,Manhattan,Manhattan Community Board 3
6215.07,Manhattan,Manhattan Community Board 5
6224.06,Manhattan,Manhattan Community Board 4
8428.04,The Bronx,Morris Heights
3928.08,Brooklyn,Prospect Heights
6462.05,Queens County,Queensbridge
4122.03,Brooklyn,Bedford-Stuyvesant
4931.05,Brooklyn,NONE
3665.06,Brooklyn,Crown Heights
6247.06,Manhattan,Chelsea
7818.17,Manhattan,Manhattan Community Board 9
7617.07,Manhattan,NONE
6098.12,Manhattan,Flatiron District
5436.11,Manhattan,Lower East Side
5902.07,Brooklyn,NONE
7595.17,Manhattan,Bloomingdale
7344.05,Manhattan,Carnegie Hill
5374.01,Manhattan,Manhattan Community Board 3
5021.05,Brooklyn,NONE
5676.04,Brooklyn,Greenpoint
7669.1,The Bronx,Port Morris
7146.04,Manhattan,Manhattan Community Board 8
7502.01,Manhattan,Manhattan Community Board 7
6969.08,Manhattan,NONE
4816.05,Brooklyn,NONE
5998.09,Queens County,Woodside
6740.01,Manhattan,Manhattan Community Board 5
5550.05,Brooklyn,Greenpoint
5820.08,Manhattan,Manhattan Community Board 3
7456.03,Manhattan,Manhattan Community Board 11
7059.08,Manhattan,NONE
5210.01,Brooklyn,NONE
7132.08,Queens County,Astoria
5794.05,Brooklyn,NONE
5414.06,Manhattan,Manhattan Community Board 3
4419.03,Brooklyn,NONE
5561.04,Manhattan,Manhattan Community Board 2
6004.07,Manhattan,Manhattan Community Board 6
5746.02,Manhattan,Manhattan Community Board 3
3946.07,Brooklyn,NONE
6989.07,Queens County,Astoria
5944.01,Brooklyn,NONE
4962.02,Manhattan,Whitehall
5623.03,Brooklyn,Greenpoint
7121.13,Manhattan,Manhattan Community Board 8
5303.06,Manhattan,Manhattan Community Board 3
4889.06,Manhattan,Whitehall
4895.15,Brooklyn,Dumbo
5335.07,Manhattan,Manhattan Community Board 3
5730.08,Manhattan,Manhattan Community Board 2
4377.04,Brooklyn,Clinton Hill
6517.08,Manhattan,Theater District
6190.08,Manhattan,Manhattan Community Board 4
5977.01,Brooklyn,NONE
7123.04,Manhattan,NONE
5411.07,Brooklyn,Greenpoint
6816.07,Manhattan,Manhattan Community Board 4
8089.05,Manhattan,Manhattan Community Board 9
3919.07,Brooklyn,NONE
5581.01,Brooklyn,Greenpoint
8262.07,Manhattan,Manhattan Community Board 12
5175.08,Manhattan,Whitehall
4336.01,Brooklyn,Clinton Hill
5572.07,Brooklyn,NONE
7610.13,Manhattan,Bloomingdale
6932.14,Manhattan,Manhattan Community Board 8
7393.09,Manhattan,Manhattan Community Board 11
7713.11,Manhattan,Manhattan Community Board 9
4576.11,Brooklyn,NONE
5230.02,Manhattan,Manhattan Community Board 3
4715.01,Brooklyn,Clinton Hill
8005.08,The Bronx,Bronx County
6926.01,Manhattan,Clinton
5024.1,Manhattan,Whitehall
5348.02,Brooklyn,NONE
5216.04,Manhattan,Whitehall
5613.04,Brooklyn,NONE
4342.04,Brooklyn,Bedford-Stuyvesant
5045.05,Brooklyn,NONE
5125.03,Brooklyn,NONE
2984.04,Brooklyn,Kensington
5847.06,Manhattan,Manhattan Community Board 2
5442.05,Brooklyn,NONE
4903.09,Brooklyn,Dumbo
6782.01,Queens County,NONE
6617.09,Manhattan,Sutton
6839.1,Manhattan,Manhattan Community Board 5
7634.01,Manhattan,Bloomingdale
8013.07,Manhattan,Manhattan Community Board 9
5476.03,Manhattan,Alphabet City
6137.04,Queens County,Hunters Point
6441.06,Manhattan,Garment District
5453.05,Manhattan,Manhattan Community Board 3
6700.14,Manhattan,Manhattan Community Board 5
6958.06,Queens County,Astoria
7161.08,Manhattan,NONE
8226.05,Manhattan,Manhattan Community Board 12
3865.05,Brooklyn,NONE
4255.05,Brooklyn,NONE
5709.03,Brooklyn,Greenpoint
8579.03,Manhattan,Manhattan Community Board 12
4214.03,Brooklyn,Bedford-Stuyvesant
6932.15,Manhattan,Manhattan Community Board 8
8665.09,Manhattan,Manhattan Community Board 12
4775.01,Brooklyn,NONE
5414.07,Manhattan,Manhattan Community Board 3
4461.01,Brooklyn,NONE
5453.06,Manhattan,Manhattan Community Board 2
7338.02,Manhattan,Manhattan Community Board 8
7680.03,Manhattan,Bloomingdale
6498.09,Manhattan,Beekman
6289.06,Manhattan,Midtown South
6079.03,Manhattan,Manhattan Community Board 6
4051.01,Brooklyn,NONE
7623.13,Manhattan,Bloomingdale
7265.1,Manhattan,Yorkville
7541.01,Manhattan,Manhattan Community Board 7
8356.04,The Bronx,Tremont
5379.09,Brooklyn,NONE
4354.07,Brooklyn,NONE
4060.09,Brooklyn,NONE
8344.09,The Bronx,Morris Heights
4965.01,Brooklyn,NONE
7286.05,Manhattan,Manhattan Community Board 8
5291.05,Brooklyn,NONE
6991.12,Manhattan,Lenox Hill
6801.01,Manhattan,Sutton
6197.08,Manhattan,Kips Bay
5027.02,Brooklyn,NONE
5238.05,Manhattan,Two Bridges
5365.02,Manhattan,Lower East Side
7365.13,Manhattan,Manhattan Community Board 8
8394.15,Manhattan,Manhattan Community Board 12
4721.01,Brooklyn,NONE
4228.02,Brooklyn,Bedford-Stuyvesant
4608.01,Brooklyn,NONE
8432.11,Manhattan,Fort George
8664.06,The Bronx,Bedford Park
4290.06,Kings County,Gowanus
4249.1,Brooklyn,NONE
5666.11,Brooklyn,Greenpoint
4979.07,Brooklyn,NONE
4281.08,Brooklyn,NONE
